source,target,score
A marble is dropped in a glass of water.  [MASK]  force pulls the marble to the bottom of the glass [SEP] gravity,electricity friction magnetism magnet energy mechanical force gravity tension sound,0.2314300686120987 0.009154937230050564 0.008218224160373211 0.004663560073822737 0.0045512099750339985 0.0037685600109398365 0.0021112426184117794
[MASK] causes the leaves of a plant to become larger [SEP] growth,repair decomposition germination ge rust migration res infection growth evolution,0.34385329484939575 0.014884516596794128 0.008812738582491875 0.007437574677169323 0.005861515179276466 0.004673412535339594 0.003120254259556532
One way animals usually respond to a sudden drop in temperature is by [MASK]  [SEP] shivering,sweating blinking salivating saliva shivering breathing diet anger pu sweat,0.557060182094574 0.006292613223195076 0.0013500817585736513 0.0011036377400159836 0.0008831396698951721 0.0008431531023234129 0.0008046117727644742
A student puts two identical plants in the same type and amount of soil. She gives them the same amount of water. She puts one of these plants near a sunny window and the other in a dark room. This experiment tests how the plants respond to [MASK]  [SEP] light,air water soil gravity heat sunlight electricity wind light food,0.007647354155778885 0.005656120833009481 0.005230712238699198 0.0049058301374316216 0.0043989522382617 0.003947283606976271 0.0035439208149909973
[MASK] most often has a harmful effect on the environment [SEP] polluting,breathing growing planting smoking flying shed eating pulling combustion repairing,0.005201075691729784 0.002952030161395669 0.0025754719972610474 0.002573316218331456 0.0019328267080709338 0.0014248325023800135 0.0013788886135444045
"In New York State, the shortest period of daylight occurs during  [MASK]  month [SEP] December",June March September march september june december may autumn spring,0.4283980131149292 0.3233650028705597 0.19249674677848816 0.01594584435224533 0.004360432270914316 0.0032152992207556963 0.00276117748580873
Elaine wants to measure the volume of a large pitcher of lemonade.  [MASK]  units should Elaine use [SEP] liters,grams meters degrees centimeters minutes liter mill degree units meter,0.04032699763774872 0.008482570759952068 0.005355916451662779 0.004792663734406233 0.004485856741666794 0.004453936591744423 0.003984674345701933
Janet has been given some minerals to identify. One of her samples is yellow.  [MASK]  of these minerals is most likely to be yellow [SEP] Sulfur,Talc Gypsum Hematite hem tal g ch cal h si,0.5320852994918823 0.2528659701347351 0.10611221939325333 0.00508800707757473 0.004769046790897846 0.002731395186856389 0.002192692831158638
[MASK] uses carbon from the air to make food for plants [SEP] photosynthesis,growth respiration decomposition res eva poll meta mat conde fi,0.5925843715667725 0.01423785462975502 0.01355551928281784 0.012583035044372082 0.01184073369950056 0.009464450180530548 0.00601562112569809
Jeannie put her soccer ball on the ground on the side of a hill.  [MASK]  force acted on the soccer ball to make it roll down the hill [SEP] gravity,electricity friction magnetism magnet tension energy mechanical gravity erosion force,0.195861354470253 0.0068460674956440926 0.006512803956866264 0.006104685366153717 0.0042262296192348 0.0038024242967367172 0.003549124812707305
"Camels have humps on their backs that store fat, allowing them to survive for many days without food. This makes camels well suited to desert life. This characteristic is an example of [MASK]  [SEP] adaptation",instinct migration hibernation hi camouflage ge movement communication evolution adaptation,0.3449708819389343 0.03600738197565079 0.026684917509555817 0.020575737580657005 0.015996916219592094 0.01158217340707779 0.008721585385501385
Clouds and fog are made up of [MASK]  [SEP] water,heat light helium air liquid electricity sound gas gravity carbon,0.011618885211646557 0.0066300188191235065 0.006198928225785494 0.005462318658828735 0.004192783031612635 0.003994384314864874 0.0032238487619906664
A balloon filled with water is placed in a freezer.  [MASK]  property of the water will change as the water reaches its freezing point [SEP] state,color mass weight state shape size volume texture temperature momentum,0.025585835799574852 0.014122235588729382 0.010216162540018559 0.0060252719558775425 0.0038589180912822485 0.003511503105983138 0.0032841868232935667
"One type of animal hatches from an egg, breathes through gills when it is young, and mainly lives on land as an adult. Into  [MASK]  group is this animal classified [SEP] amphibians",birds mammals reptiles fish insects humans animals horses rodents frogs,0.03532344475388527 0.02996344119310379 0.004251918755471706 0.004094550386071205 0.003177635371685028 0.0028906266670674086 0.0017001245869323611
Weather patterns sometimes result in drought.  [MASK]  activity would be most negatively affected during a drought year [SEP] farming,boating hiking hunting shopping driving fishing flying mining talking farming,0.009165875613689423 0.00614567194133997 0.0035629752092063427 0.0033305794931948185 0.0020589351188391447 0.0017335398588329554 0.0016346204793080688
A rubber ball rolls across a level surface. The ball will eventually stop rolling due to [MASK]  [SEP] friction,electricity conductivity magnetism magnet conduct gravity friction light sound erosion,0.33572837710380554 0.13436289131641388 0.0252857469022274 0.01238025538623333 0.008059121668338776 0.0076013305224478245 0.0060480255633592606
A boy can see his face  [MASK]  he looks into a calm pond. Which physical property of the pond makes this happen [SEP] reflectiveness,flexibility temperature volume weight color speed hearing size hardness mass,0.0229924488812685 0.00909391138702631 0.007191530428826809 0.007143787108361721 0.00498470151796937 0.0049507194198668 0.004583708476275206
Solar panels are used to absorb sunlight.  [MASK]  color panel would absorb the most sunlight [SEP] black,green white yellow pink red blue brown gray orange purple,0.031576383858919144 0.02123274840414524 0.01798795908689499 0.008055753074586391 0.007348513230681419 0.006130674388259649 0.0053003812208771706
A prairie dog living in a community barks loudly. Other prairie dogs nearby know that danger is near and quickly go underground to hide.  [MASK]  sense are these prairie dogs using to communicate [SEP] hearing,smelling tasting touching feeling hearing seeing touch vision smell taste,0.04537201300263405 0.02759517915546894 0.02177942916750908 0.0120896827429533 0.011149832978844643 0.009332654066383839 0.005639746785163879
The main function of a tree's trunk is to provide [MASK]  [SEP] support,air fruit sunlight water wind light food soil grass oxygen,0.015330305323004723 0.010848806239664555 0.010666696354746819 0.006269694305956364 0.0059081134386360645 0.0057886927388608456 0.004849637858569622
Many animals blend in with their environment and can not be easily seen by predators. This is an example of  [MASK]  adaptation [SEP] camouflaging,communicating hibernating migrating hi migration ge breathing communication camouflage diver,0.2732585072517395 0.025177089497447014 0.00957233551889658 0.005915287882089615 0.005672384053468704 0.005167846102267504 0.002970946254208684
The condition of the air outdoors at a certain time of day is known as [MASK]  [SEP] weather,friction light force gravity sound matter electricity wind magnet variation,0.01519808266311884 0.010929875075817108 0.01054773386567831 0.006879144348204136 0.004905032925307751 0.00344827095977962 0.0031960755586624146
[MASK] of matter has no definite volume and no definite shape [SEP] gas,liquid solid solid plasma gas fluid liquids carbon solids light,0.01317177340388298 0.009506636299192905 0.00775736290961504 0.0073914723470807076 0.00598134845495224 0.002579597756266594 0.0022561491932719946
A student reaches into a bag of objects.  [MASK]  property of the objects can be observed by using only the sense of touch [SEP] texture,color odor taste smell weight size mass temperature shape texture,0.0327179953455925 0.0173367690294981 0.010285359807312489 0.006032587494701147 0.005002767313271761 0.004624699242413044 0.004623510409146547
"When notebook paper is folded to make an airplane,  [MASK]  physical property of the paper changes [SEP] Shape",Mass Weight Smell weight smell mass color state temperature size,0.4682789146900177 0.19099819660186768 0.16121622920036316 0.01763574592769146 0.014108670875430107 0.006590305361896753 0.004783473443239927
The distance between Richmond and Norfolk is best measured in ___ [MASK]  [SEP] kilometers,meters centimeters millimeters mill kilometers grams minutes liter degrees gallons,0.23053649067878723 0.014636785723268986 0.013368787243962288 0.005931336432695389 0.004136927425861359 0.0032933049369603395 0.0026852169539779425
Sonar helps people find  [MASK]  information about an object [SEP] Location,Color Weight Temperature weight temperature color taste size smell shape,0.3923543095588684 0.24477343261241913 0.23945146799087524 0.0075586773455142975 0.007391813211143017 0.006854762323200703 0.005874001886695623
Bill stands in a swimming pool and notices that the water around his feet is a lot cooler than the water near the surface.  [MASK]  process causes this difference in temperature [SEP] convection,evaporation radiation conduction eva conduct conde precipitation diffusion convection erosion,0.4255503714084625 0.16121675074100494 0.07678963243961334 0.0469527430832386 0.021626321598887444 0.010260708630084991 0.008640769869089127
Cows are farm animals that eat only plants.  [MASK]  of these kinds of living things is a cow [SEP] Herbivore,Decomposer Carnivore Producer car deco producer amp producers fish herb,0.40232476592063904 0.28531327843666077 0.1833898425102234 0.011305735446512699 0.01078785303980112 0.006794402375817299 0.006715328432619572
fourth from the sun in our solar system is [MASK] [SEP] Mars,Earth Venus Jupiter venus earth jupiter mars moon neptune mercury,0.40164515376091003 0.24400164186954498 0.17184728384017944 0.04429641738533974 0.02321215160191059 0.015565468929708004 0.012208194471895695
A student shines a flashlight on different colors of paper.  [MASK]  color of paper will absorb the most light [SEP] Black,Red White Yellow white yellow red pink blue green gray,0.4799835979938507 0.23200930655002594 0.16871438920497894 0.03602741286158562 0.01926623471081257 0.01736118085682392 0.006319273263216019
[MASK] would be most likely to study the changes in animal populations in nature [SEP] Ecologist,Botanist Engineer Veterinarian engineer vet botanist biologist geologist psychologist chemist,0.35762616991996765 0.35469287633895874 0.16498951613903046 0.009169432334601879 0.007824567146599293 0.0033338633365929127 0.0029262234456837177
"Heat was applied to a substance. First the substance expanded, and then it melted.  [MASK]  state of matter did the substance start off as [SEP] Solid",Gas Liquid Plasma liquid gas plasma solid mixture natural fluid,0.34207624197006226 0.3217041492462158 0.14901793003082275 0.029880739748477936 0.0063761258497834206 0.00606124009937048 0.005562900099903345
" [MASK]  mineral, found in Arkansas, is an ore that can be used to produce aluminum [SEP] bauxite",quartz galena diamond galen coal sulfur meta tin gem tal,0.158488929271698 0.01804761216044426 0.006380524951964617 0.005065122153609991 0.0044748662039637566 0.0032936783973127604 0.0030977297574281693
A student is investigating the properties of a mineral. The student tests the mineral by putting it under an ultraviolet light.  [MASK]  property of the mineral can be identified using this test [SEP] fluorescence,color streak luster lust cleavage weight temperature mass reflect fi,0.18270531296730042 0.011477925814688206 0.007165730930864811 0.006146055180579424 0.00324465474113822 0.0031089994590729475 0.002834305400028825
a satellite of the planet earth is [MASK] in the sky [SEP] Moon,Sun Mars Saturn sun saturn mars moon earth venus neptune,0.3768644630908966 0.28227001428604126 0.16970889270305634 0.023976456373929977 0.008706970140337944 0.00758581655099988 0.005677779670804739
[MASK] pulls things towards the center of earth [SEP] gravity,magnetism friction energy magnet electricity gravity force light erosion momentum,0.23021794855594635 0.14451061189174652 0.010055477730929852 0.006515942979604006 0.004685784224420786 0.002564024180173874 0.002284933580085635
Irene needs to join two boards together.  [MASK]  would NOT be used to join the boards together [SEP] saw,glue screws nails screw pins bolts saw sand roller boards,0.1890646517276764 0.023416373878717422 0.009399420581758022 0.00815358106046915 0.0056267669424414635 0.003752585966140032 0.003620395204052329
"If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by [MASK]  [SEP] friction",insulation magnetism conduction magnet conduct gravity electricity light sound radiation,0.39019834995269775 0.23192375898361206 0.024729615077376366 0.024290071800351143 0.02167864702641964 0.014979829080402851 0.010180446319282055
"When white, fluffy clouds appear in Massachusetts, the weather that day will MOST LIKELY be [MASK]  [SEP] fair",stormy foggy rainy fog snow rain cloudy weather thunder storms,0.27617329359054565 0.010877028107643127 0.005900079850107431 0.005225897766649723 0.004654425662010908 0.004471038468182087 0.0043505290523171425
The parts of plants that make seeds are the [MASK]  [SEP] flowers,roots stems leaves stem cells flowers trees fruits petals seeds,0.018740246072411537 0.004445899743586779 0.004024541471153498 0.003957671578973532 0.003712991951033473 0.002612377516925335 0.0022451768163591623
Plants use sunlight to make [MASK]  [SEP] food,soil minerals water air fruit mineral oxygen sunlight light wood,0.03633915260434151 0.013887971639633179 0.010371324606239796 0.009331971406936646 0.008346868678927422 0.007154716178774834 0.004373352508991957
A student picked up a small rock using a magnet. The rock probably contained [MASK]  [SEP] iron,quartz diamond aluminum plastic copper gold silver calcium basalt glass,0.008731928654015064 0.007608370389789343 0.007591786794364452 0.007217143662273884 0.006289222277700901 0.0056504118256270885 0.004899251740425825
[MASK] causes sound [SEP] vibrations,sunlight xrays pitch x electricity light cl sound gravity rain,0.34500977396965027 0.015034424141049385 0.010751537047326565 0.008663945831358433 0.007770204450935125 0.00653279572725296 0.006078591104596853
[MASK] of the following properties best describes a material 's ability to resist scratching [SEP] hardness,weight flexibility length shape size width height temperature power strength,0.023072736337780952 0.021160641685128212 0.017006700858473778 0.009372852742671967 0.007985759526491165 0.004827928263694048 0.004044423811137676
"In the water cycle, rain, snow, or sleet falling to the ground is a form of [MASK]  [SEP] precipitation",condensation evaporation transpiration trans eva conde precipitation fi groundwater res,0.4858624041080475 0.2727721631526947 0.15294697880744934 0.017320165410637856 0.006548713427037001 0.004081293940544128 0.004045402631163597
[MASK] of the following fasteners are best to use to fasten the sides of a wooden birdhouse [SEP] nails,bolts hooks pins nails doors wheels walls screw glue frames,0.012418422847986221 0.0053657665848731995 0.004397270735353231 0.004109944216907024 0.004062825348228216 0.0026018861681222916 0.0023183005396276712
Water moves directly from a lake to the air by  [MASK]  of the following processes [SEP] evaporation,condensation precipitation sedimentation sediment conde eva the freezing erosion fi,0.1775687336921692 0.1748252660036087 0.018591152504086494 0.009890744462609291 0.005877688992768526 0.004899005871266127 0.004846386611461639
[MASK] of organism is made of one cell [SEP] bacteria,trees fern fish insects algae birds grasses bacteria tree water,0.01991012692451477 0.006221199873834848 0.005627285223454237 0.0038657125551253557 0.003417104482650757 0.002976450603455305 0.0028442987240850925
the highest temperatures are most often recorded during [MASK] [SEP] afternoon,sunset sunrise night noon day afternoon summer fall saturday spring,0.005702727474272251 0.003972348291426897 0.002891324693337083 0.002659732010215521 0.0017515476793050766 0.001713549136184156 0.0016819075681269169
A student walks to school one morning and notices the grass is wet but the streets are dry.  [MASK]  of these processes most likely caused the grass to be wet [SEP] condensation,erosion evaporation precipitation eva conde groundwater melting migration sediment rust,0.22781765460968018 0.0265413336455822 0.004771500360220671 0.003332550171762705 0.0031150178983807564 0.0030410292092710733 0.002744730096310377
"A student throws a ball into the air. While the ball travels up, the speed of the ball decreases.  [MASK]  force causes the ball to slow while traveling up [SEP] gravity",electricity magnetism tension magnet friction mechanical energy gravity sound motion,0.21020422875881195 0.07625176757574081 0.02537669613957405 0.016419166699051857 0.004434970207512379 0.004404871724545956 0.004032152239233255
[MASK] is grown for food [SEP] Rice,Tobacco Orchid Cotton cotton orchid tobacco wheat bamboo deer fish,0.5917629599571228 0.18318697810173035 0.08496234565973282 0.0074211061000823975 0.005411983467638493 0.0040216511115431786 0.0037255838979035616
not lay eggs [MASK] of these animals [SEP] dogs,chickens frogs turtles birds fish cats chicken rabbits parrot horses,0.035980794578790665 0.013080026023089886 0.01296672597527504 0.007906785234808922 0.006689141038805246 0.005139619577676058 0.005136576481163502
Small grasshoppers shed their outer covering as they grow larger.  [MASK]  animal also sheds its outer covering as it grows larger [SEP] snake,frog fish human deer lizard insect bird dog bat animal,0.016270484775304794 0.015714630484580994 0.008641991764307022 0.00759151903912425 0.0073487162590026855 0.0042730034328997135 0.004063389264047146
A predator is an animal that feeds on other animals.  [MASK]  of these is a predator [SEP] wolf,deer cow goat dog lion lizard squirrel fish hawk rabbit,0.010372191667556763 0.00908177811652422 0.005220936611294746 0.004289104137569666 0.0034567706752568483 0.0029881084337830544 0.0026360999327152967
Calcium is a mineral that helps make your bones and teeth strong.  [MASK]  of these foods is the best source of calcium [SEP] cheese,candy rice meat milk wheat fish vegetables fruit fruits potato,0.009340431541204453 0.008813769556581974 0.007965710014104843 0.006781845819205046 0.005138991866260767 0.003661555703729391 0.0035275942645967007
[MASK] is most likely to cause damage when hitting the roof of a car [SEP] hail,rain sleet snow sl ice wind sand frost hail ##eet,0.2816491723060608 0.005723550915718079 0.005240344908088446 0.005144698079675436 0.005122617818415165 0.0037733903154730797 0.003185114823281765
A student sorted mineral samples into two groups: dull and shiny.  [MASK]  of the following properties did the student use to sort the mineral samples into groups [SEP] luster,cleavage color streak weight shape gray size temperature red mass,0.0066871726885437965 0.006276397500187159 0.005691370461136103 0.004182447679340839 0.0037714214995503426 0.0033074149396270514 0.0029000574722886086
[MASK] of the following metals will be attracted to a magnet [SEP] iron,copper gold silver aluminum diamond steel lead tin zinc iron,0.02956949733197689 0.02125266008079052 0.01609531231224537 0.013194453902542591 0.010807137936353683 0.008089059963822365 0.004705906845629215
[MASK] of the following organisms would most likely get its food energy only from consumers [SEP] hawk,deer grass mushroom fish rabbit lizard tree squirrel frog bamboo,0.027676796540617943 0.010925265960395336 0.009574994444847107 0.00648226635530591 0.006077759899199009 0.0058697424829006195 0.005290348548442125
The Sun is the largest body in the solar system. The Sun is a ___ [MASK]  [SEP] star,moon planet satellite galaxy earth comet orbit sun meteor ocean,0.011802555061876774 0.009977423585951328 0.0045804171822965145 0.0038040971849113703 0.0029222387820482254 0.0025548292323946953 0.002061632927507162
[MASK] of the following processes makes it possible for plants to use energy from sunlight to produce their own food [SEP] photosynthesis,metamorphosis pollination reproduction meta poll res eva photos decomposition pollen,0.6386497616767883 0.1497475802898407 0.007743390742689371 0.006994566414505243 0.006313681602478027 0.004534551873803139 0.004068457521498203
